Type ouvrage;Code ligne 1;Nom ligne 1;Propriétaire ligne 1;Etat;TENSION;Source donnée;Geo Shape;Nombre circuit;Code ligne 2;Nom ligne 2;Propriétaire ligne 2;Code ligne 3;Nom ligne 3;Propriétaire ligne 3;Code ligne 4;Nom ligne 4;Propriétaire ligne 4;Code ligne 5;Nom ligne 5;Proprietaire ligne 5;geo_point_2d
AERIEN;BXCH5L42TREPO;LIAISON 90kV N0 2 BEAUCHAMPS - TREPORT (LE);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;90kV;RTE;"{""coordinates"": [[1.4561454078, 50.0520778615], [1.454464689, 50.0529140636]], ""type"": ""LineString""}";1;;;;;;;;;;;;;50.05249596255, 1.4553050484
AERIEN;L.CHAL31S.DAM;LIAISON 63kV N0 1 LONG-CHAMP (LE) - SOISSONS-NOTRE-DAME;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[3.4748837638, 49.3388631055], [3.4766652366, 49.3422334264], [3.477244103, 49.3424453179]], ""type"": ""LineString""}";1;;;;;;;;;;;;;49.340797574383565, 3.47593877088049
AERIEN;CLAMEL32VNOL;LIAISON 63kV N0 2 CLAMECY-VIGNOL;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[3.5088718485, 47.4518494651], [3.5090257922, 47.4516608828]], ""type"": ""LineString""}";1;;;;;;;;;;;;;47.45175517395, 3.50894882035
AERIEN;CLAVAL31P.VIZ;LIAISON 63kV N0 1 CLAVAUX (LES) - PEAGE-DE-VIZILLE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[5.7779645368, 45.0570314108], [5.7774571723, 45.0563406393], [5.7763221522, 45.0543210398], [5.7856899571, 45.0580485605], [5.787013534, 45.0585632592], [5.7907665361, 45.0601297168], [5.7943574723, 45.0614478327], [5.7908409762, 45.06001701], [5.7867488075, 45.0582518649], [5.7858750016, 45.0578837959], [5.7764634961, 45.0542238246]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.05768490449058, 5.784753621932525
AERIEN;LERE L32VERLH;LIAISON 63kV N0 2 LERE-VERLHAGUET;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[1.3182876158, 43.9822969547], [1.3184459286, 43.9824676495], [1.3187914876, 43.9828551634]], ""type"": ""LineString""}";1;;;;;;;;;;;;;43.98257500180907, 1.3185407142207324
AERIEN;MOISSL31ZCSLS;LIAISON 63kV N0 1 CASTELSARRASIN-CASTELSARRASIN (CEGEDUR PECHINEY)-MOISSAC;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[1.0543690734, 44.1005155688], [1.056807129, 44.1021487991], [1.0588904257, 44.1035218068], [1.0609307991, 44.103410279], [1.0645091522, 44.1031908689], [1.0677983211, 44.1029887488], [1.0706698992, 44.1024973458], [1.0729516265, 44.1020081147]], ""type"": ""LineString""}";2;MOISSL31ZV.A5;LIAISON 63kV N0 1 GOLFECH-MOISSAC-VALENCE D AGEN;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;44.10272083386665, 1.063367107696484
AERIEN;NARBOL31ZNARB;LIAISON 63kV N0 1 LIVIERE - NARBONNE - PORT-LA-NOUVELLE;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[2.9810162644, 43.1803094859], [2.9807780141, 43.1803586229], [2.9798193339, 43.1803440516], [2.9776060106, 43.1795358553], [2.9749651346, 43.1785728267], [2.9710770621, 43.1771363118], [2.9680581091, 43.1779495058], [2.966094972, 43.178351852], [2.9651346443, 43.1786215311]], ""type"": ""LineString""}";1;;;;;;;;;;;;;43.178547552677635, 2.973104207987623
AERIEN;SSHUBL31THIO6;LIAISON 63kV N0 1 ST-HUBERT-THIONVILLE(USINOR ACIERIES);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;63kV;RTE;"{""coordinates"": [[6.1284807696, 49.3044661598], [6.1265319894, 49.3070446234], [6.1227250183, 49.3085898214]], ""type"": ""LineString""}";2;S.SOLL32SSHUB;LIAISON 63kV N0 2 SEREMANGE SOLLAC-ST-HUBERT;MAINTENU PAR ET PROPRIETE RTE;;;;;;;;;;49.30690940836697, 6.125895618445634
AERIEN;BACALL61MQIS;LIAISON 225kV N0 1 BACALAN-MARQUIS (LE);MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[-0.5355260554, 44.9192301163], [-0.5306670959, 44.919702843], [-0.5265839363, 44.9201074737], [-0.5217149365, 44.9208072409], [-0.5183894259, 44.9225330836], [-0.5147697206, 44.9239824355], [-0.5141070539, 44.926483624]], ""type"": ""LineString""}";3;BASSEL31MQIS;LIAISON 63kV N0 1 BASSENS-MARQUIS (LE);MAINTENU PAR ET PROPRIETE RTE;MQIS L31ZBASS;LIAISON 63kV N0 1 BACALAN-MARQUIS-BASSENS;MAINTENU PAR ET PROPRIETE RTE;;;;;;;44.92131564786359, -0.5238201250441678
AERIEN;GIVORL62MIONS;LIAISON 225kV N0 2 GIVORS - MIONS;MAINTENU PAR ET PROPRIETE RTE;EN EXPLOITATION;225kV;RTE;"{""coordinates"": [[4.9712820717, 45.6704515059], [4.9737583411, 45.6735183387], [4.9741940818, 45.6739350725]], ""type"": ""LineString""}";1;;;;;;;;;;;;;45.67221600337771, 4.972713373492667
